displayName;tactics;techniques;Implementation;
Use case example 1;;;100%;
Use case example 2;"[""DefenseEvasion""]";"[""T1562""]";100%;
Use case example 3;"[""InitialAccess""]";"[""T1078""]";97%;
Use case example 4;"[""Collection"",""Exfiltration""]";"[""T1114"",""T1020""]";95%;
Use case example 5;;;100%;
Use case example 6;"[""Execution""]";"[""T1047""]";100%;
Use case example 7;"[""Execution""]";"[""T1204"",""T1623""]";100%;
Use case example 8;"[""Execution""]";"[""T1204""]";89%;
Use case example 9;"[""Execution""]";"[""T1204""]";100%;
Use case example 10;"[""Execution""]";"[""T1059""]";92%;
Use case example 11;"[""DefenseEvasion""]";"[""T1562""]";0%;
Use case example 12;"[""CommandAndControl""]";"[""T1105""]";100%;
Use case example 13;"[""CommandAndControl""]";"[""T1071""]";100%;
Use case example 14;"[""CommandAndControl""]";"[""T1071""]";0%;
Use case example 15;"[""Impact""]";"[""T1486""]";97%;
Use case example 16;"[""Persistence""]";"[""T1053""]";71%;
Use case example 17;"[""CommandAndControl""]";"[""T1071""]";56%;
Use case example 18;"[""Reconnaissance""]";"[""T1590""]";71%;
Use case example 19;"[""Exfiltration""]";"[""T1048""]";100%;
Use case example 20;"[""InitialAccess""]";"[""T1078""]";100%;
Use case example 21;"[""InitialAccess""]";"[""T1078""]";87%;
Use case example 22;"[""CredentialAccess""]";"[""T1621""]";100%;
Use case example 23;"[""Reconnaissance""]";"[""T1590""]";79%;
Use case example 24;"[""Exfiltration""]";"[""T1567""]";100%;
Use case example 25;"[""Exfiltration""]";"[""T1567""]";57%;
Use case example 26;"[""Discovery""]";"[""T1046""]";100%;
Use case example 27;"[""CommandAndControl""]";"[""T1071""]";6%;
Use case example 28;"[""CommandAndControl""]";"[""T1071""]";100%;
Use case example 29;"[""DefenseEvasion""]";"[""T1078""]";99%;
Use case example 30;"[""CommandAndControl""]";"[""T1071""]";38%;
Use case example 31;"[""DefenseEvasion""]";"[""T1600""]";100%;
Use case example 32;[];[];96%;
Use case example 33;"[""Persistence""]";"[""T1136""]";97%;
Use case example 34;"[""CredentialAccess""]";"[""T1187""]";100%;
Use case example 35;"[""LateralMovement""]";"[""T1021""]";100%;
Use case example 36;"[""Execution""]";"[""T1204""]";100%;
Use case example 37;"[""Persistence""]";"[""T1136""]";25%;
Use case example 38;[];[];100%;
Use case example 39;"[""Execution""]";"[""T1204""]";100%;
Use case example 40;"[""PrivilegeEscalation""]";"[""T1548""]";98%;
